Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
1,,CCAFS,,0,LEO,SpaceX,,,Dragon Spacecraft Qualification Unit,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
2,,CCAFS,,0,LEO,NASA,,,Dragon,Success,F9 v1.0B0004.1,Failure,8 December 2010,18:45
3,,CCAFS,,525 kg,LEO,NASA,,,Dragon,Success,F9 v1.0B0005.1,"No attempt
",22 May 2012,15:43
4,,CCAFS,,"4,700 kg",LEO,NASA,,,SpaceX CRS-1,"Success
",F9 v1.0B0006.1,No attempt,8 October 2012,07:44
5,,CCAFS,,"4,877 kg",LEO,NASA,,,SpaceX CRS-2,"Success
",F9 v1.0B0007.1,"No attempt
",1 March 2013,00:35
6,,VAFB,,500 kg,Polar orbit,MDA,,,CASSIOPE,Success,F9 v1.1B1003,Uncontrolled,29 September 2013,15:10
7,,CCAFS,,"3,170 kg",GTO,SES,,,SES-8,Success,F9 v1.1,No attempt,3 December 2013,16:00
8,,CCAFS,,"3,325 kg",GTO,Thaicom,,,Thaicom 6,Success,F9 v1.1,No attempt,6 January 2014,22:41
9,,Cape Canaveral,,"2,296 kg",LEO,NASA,,,SpaceX CRS-3,"Success
",F9 v1.1,Controlled,18 April 2014,22:06
10,,Cape Canaveral,,"1,316 kg",LEO,Orbcomm,,,Orbcomm-OG2,Success,F9 v1.1,Controlled,14 July 2014,19:25
11,,Cape Canaveral,,"4,535 kg",GTO,AsiaSat,,,AsiaSat 8,Success,F9 v1.1,No attempt,5 August 2014,15:15
12,,Cape Canaveral,,"4,428 kg",GTO,AsiaSat,,,AsiaSat 6,Success,F9 v1.1,"No attempt
",7 September 2014,08:00
13,,Cape Canaveral,,"2,216 kg",LEO,NASA,,,SpaceX CRS-4,Success,F9 v1.1,Uncontrolled,21 September 2014,05:00
14,,Cape Canaveral,,"2,395 kg",LEO,NASA,,,SpaceX CRS-5,Success,F9 v1.1,Failure ,10 January 2015,05:52
15,,Cape Canaveral,,570 kg,HEO,USAF,,,DSCOVR,"Success
",F9 v1.1,Controlled,11 February 2015,09:47
16,,Cape Canaveral,,"4,159 kg",GTO,ABS,,,ABS-3A,"Success
",F9 v1.1,No attempt,2 March 2015,23:03
17,,Cape Canaveral,,"1,898 kg",LEO,NASA,,,SpaceX CRS-6,"Success
",F9 v1.1,Failure,14 April 2015,03:50
18,,Cape Canaveral,,"4,707 kg",GTO,,,,TürkmenÄlem 52°E / MonacoSAT,"Success
",F9 v1.1,No attempt,27 April 2015,20:10
19,,Cape Canaveral,,"1,952 kg",LEO,NASA,,,SpaceX CRS-7,Failure,F9 v1.1,Precluded,28 June 2015,23:03
20,,Cape Canaveral,,"2,034 kg",LEO,Orbcomm,,,Orbcomm-OG2,"Success
",F9 FT,Success,22 December 2015,14:21
21,,VAFB,,553 kg,LEO,NASA,,,Jason-3,"Success
",F9 v1.1,Failure,17 January 2016,01:29
